Country,County,Institution Code,Institution,Latitude,Longitude,Address,Phone
Taiwan,基隆市,111070010,衛生福利部基隆醫院,25.130456,121.748322,基隆市信義區信二路268號,02-24268181
Taiwan,基隆市,1411030013,醫療財團法人臺灣區煤礦業基金會臺灣礦工醫院,25.108102,121.733463,205基隆市暖暖區源遠路29號,02-24579101
Taiwan,基隆市,511040010,三軍總醫院附設基隆民眾診療服務處,25.145123,121.764113,202基隆市中正區正榮街100號,02-24625714
Taiwan,臺北市,101090517,臺北市立聯合醫院-和平院區,25.035591,121.506703,臺北市中正區中華路二段33號,02-23889595
Taiwan,臺北市,1101010021,基督復臨安息日會醫療財團法人臺安醫院,25.048053,121.547277,臺北市松山區八德路二段424號,02-27118151
Taiwan,臺北市,101090517,臺北市立聯合醫院-中興院區,25.050692,121.508887,臺北市大同區鄭州路145號,02-25523234
Taiwan,臺北市,101090517,臺北市立聯合醫院-陽明院區,25.105194,121.531566,臺北市士林區雨聲街105號,02-28353456
Taiwan,臺北市,101090517,臺北市立聯合醫院-忠孝院區,25.046507,121.586157,臺北市南港區同德路87號,02-27861288
Taiwan,臺北市,501010019,三軍總醫院松山分院附設民眾診療服務處,25.05394,121.557705,臺北市松山區健康路131號,02-27648851
Taiwan,臺北市,1101010012,長庚醫療財團法人台北長庚紀念醫院,25.05554,121.549626,105台北市松山區敦化北路199號,02-27135211
Taiwan,臺北市,1101110026,康寧醫療財團法人康寧醫院,25.075952,121.608779,臺北市內湖區成功路五段420巷26號,02-26343500
Taiwan,臺北市,901190010,西園醫療社團法人西園醫院,25.027656,121.4943,臺北市萬華區西園路二段270號,02-23076968
Taiwan,臺北市,1501010010,博仁綜合醫院,25.050104,121.557662,105台北市松山區光復北路66號,02-25786677
Taiwan,新北市,1231030015,天主教耕莘醫療財團法人永和耕莘醫院,25.011858,121.51773,新北市永和區中興街80號、52巷1弄28號,02-29286060
Taiwan,新北市,1331160010,輔仁大學學校財團法人輔仁大學附設醫院,25.039676,121.430799,新北市泰山區貴子路69號,02-29052526
Taiwan,新北市,1131110516,國泰醫療財團法人汐止國泰綜合醫院,25.072872,121.661084,新北市汐止區建成路59巷2號,02-26482121
Taiwan,新北市,131060029,衛生福利部臺北醫院,25.043241,121.459623,新北市新莊區思源路127號,02-22765566
Taiwan,新北市,1131090019,行天宮醫療志業醫療財團法人恩主公醫院,24.938385,121.363008,新北市三峽區復興路399號,02-26723456
Taiwan,新北市,131020016,新北市立聯合醫院,25.060869,121.49084,新北市三重區新北大道一段3號,02-29829111
Taiwan,新北市,431270012,國立臺灣大學醫學院附設醫院金山分院,25.219669,121.628164,新北市金山區五湖里玉爐路7號,02-24989898
Taiwan,新北市,131020016,新北市立聯合醫院（板橋院區）,25.023684,121.457708,新北市板橋區英士路198號,02-22575151
Taiwan,新北市,1531010279,板橋中興醫院,25.001952,121.460148,新北市板橋區忠孝路15號,02-29590707
Taiwan,新北市,1531060180,新泰綜合醫院,25.036981,121.447793,新北市新莊區新泰路157號,02-29962121
Taiwan,新北市,1531071030,仁愛醫院,24.987154,121.420055,新北市樹林區文化街9號,02-26834567
Taiwan,新北市,1531120038,瑞芳礦工醫院,25.108602,121.80217,新北市瑞芳區一坑路71之2號,02-24974101
Taiwan,新北市,131060010,衛生福利部樂生療養院,25.021342,121.408591,新北市新莊區中正路794號,02-82006600
Taiwan,宜蘭縣,1134010022,宜蘭仁愛醫療財團法人宜蘭仁愛醫院,24.748741,121.754438,宜蘭縣宜蘭市中山路二段260號,03-9321888
Taiwan,宜蘭縣,434010518,國立陽明大學附設醫院,24.757853,121.754029,宜蘭縣宜蘭市新民路152號,03-9325192
Taiwan,宜蘭縣,634070018,臺北榮民總醫院員山分院,24.721919,121.687824,宜蘭縣員山鄉內城村榮光路386號,03-9222141
Taiwan,宜蘭縣,1134020028,天主教靈醫會醫療財團法人羅東聖母醫院,24.672007,121.771567,265宜蘭縣羅東鎮中正南路160號,03-9544106
